DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , ACIDOFOLICOG , CALCIOMG , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , EQUIVALENTELECHECONAZUCAR , EQUIVALENTELECHEENTERA , HIERROMG , EQUIVALENTEAOAALTOENGRASA , KILOCALORIAS , FIBRAG , EQUIVALENTEFRUTAS , EQUIVALENTECEREALESCONGRASA , COLESTEROLMG , SODIOMG , EQUIVALENTEVERDURAS , AGSATURADOSG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA , EQUIVALENTECEREALESSINGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTELEGUMINOSAS , EQUIVALENTEAOAMUYBAJOSENGRASA
11 , 20 , 113 , 128 , 130 , 163 , 152 , 206 , 260 , " (161.094,131.428) [3000,16000] " , " (935.577,882.743) [15000,26000] " , " (0,0) [0,1] " , " (1,1.07143) [1,2] " , " (3.41667,3.91667) [3,4] " , " (0,0) [0,1] " , " (1.75,1.75) [1,2] " , " (13.3527,12.386) [220,360] " , " (1,1) [1,2] " , " (2233.08,2165.59) [2000,2350] " , " (29.067,24.4817) [15,30] " , " (3.29167,3) [2,4] " , " (3,3) [2,3] " , " (183.385,184.252) [50,455] " , " (2330.68,2376.17) [1000,4000] " , " (2.56667,1.53333) [1,3] " , " (4.6,4.88571) [0,7] " , " (2,2) [1,2] " , " (1.76667,1.76667) [1,2] " , " (8.69,8.19) [8,9] " , " (3.16667,3.16667) [3,4] " , " (1.78571,1.5) [1,2] " , " (1.33333,1.33333) [1,2] "
12 , 20 , 84 , 133 , 132 , 180 , 160 , 227 , 246 , " (31.1917,88.0467) [3000,16000] " , " (1143.48,1015.23) [15000,26000] " , " (1,0) [0,1] " , " (1,1) [1,2] " , " (3.66667,3.66667) [3,4] " , " (0,0) [0,1] " , " (1.85,1.85) [1,2] " , " (9.775,10.05) [220,360] " , " (1,1) [1,2] " , " (2238,2272.95) [2000,2350] " , " (23.16,29.4379) [15,30] " , " (2.66667,2.91667) [2,4] " , " (3,3) [2,3] " , " (203.535,186.285) [50,455] " , " (3245.7,3181.24) [1000,4000] " , " (1.08333,2.91667) [1,3] " , " (5.7,3.4) [0,7] " , " (1.75,1.5) [1,2] " , " (1.76667,1.76667) [1,2] " , " (8.9,8.9) [8,9] " , " (3.46667,3.46667) [3,4] " , " (1.5,1.78571) [1,2] " , " (1.5,2) [1,2] "
13 , 57 , 99 , 117 , 125 , 149 , 156 , 192 , 260 , " (231.507,336.745) [3000,16000] " , " (755.943,891.8) [15000,26000] " , " (0,0) [0,1] " , " (1.33333,1.33333) [1,2] " , " (3.3,3.5) [3,4] " , " (0,0) [0,1] " , " (1.4,1.4) [1,2] " , " (12.0619,11.5833) [220,360] " , " (1.6,1.6) [1,2] " , " (2123.92,2174.93) [2000,2350] " , " (24.2615,27.1457) [15,30] " , " (3.11905,3.61905) [2,4] " , " (2.66667,2.66667) [2,3] " , " (318.243,282.3) [50,455] " , " (2065.25,1796.15) [1000,4000] " , " (2.30833,2.66667) [1,3] " , " (2.84,2.8) [0,7] " , " (1.5,1) [1,2] " , " (1,1) [1,2] " , " (8.5,8.5) [8,9] " , " (3,3.66667) [3,4] " , " (1,1) [1,2] " , " (1.71429,2) [1,2] "
14 , 11 , 112 , 118 , 129 , 143 , 147 , 193 , 260 , " (108.58,123.013) [3000,16000] " , " (857.4,910.51) [15000,26000] " , " (0,0) [0,1] " , " (1.33333,1.33333) [1,2] " , " (3.16667,3.08333) [3,4] " , " (0,0) [0,1] " , " (1.95,2) [1,2] " , " (10.66,11.66) [220,360] " , " (1.6,1.6) [1,2] " , " (2209.55,2112.23) [2000,2350] " , " (29.9983,22.3183) [15,30] " , " (2.5,2.28333) [2,4] " , " (2,2) [2,3] " , " (418.925,430.117) [50,455] " , " (3172.93,3831.35) [1000,4000] " , " (2.27667,2.55) [1,3] " , " (4.33333,4.78333) [0,7] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] " , " (9,8.5) [8,9] " , " (3.16667,3.33333) [3,4] " , " (1.75,1.25) [1,2] " , " (2,2) [1,2] "
15 , 66 , 96 , 131 , 122 , 185 , 137 , 192 , 272 , " (187.448,196.866) [3000,16000] " , " (720.3,688.2) [15000,26000] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (3.7,3.75) [3,4] " , " (0,0) [0,1] " , " (1.15,1.15) [1,2] " , " (9.87,9.80333) [220,360] " , " (1.6,1.6) [1,2] " , " (2109.93,2185.81) [2000,2350] " , " (21.9507,27.2194) [15,30] " , " (2.26,2.01294) [2,4] " , " (2,2) [2,3] " , " (254.875,243.675) [50,455] " , " (2808.78,3287.96) [1000,4000] " , " (1.84333,2.51667) [1,3] " , " (2.34,2.3) [0,7] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] " , " (8.4,8.4) [8,9] " , " (3.66667,3) [3,4] " , " (1.16,1.66) [1,2] " , " (1,1.66667) [1,2] "
16 , 20 , 84 , 134 , 127 , 181 , 175 , 227 , 246 , " (104.702,92.4817) [3000,16000] " , " (1168.58,1040.18) [15000,26000] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (3.66667,3.66667) [3,4] " , " (0,0) [0,1] " , " (1.85,1.85) [1,2] " , " (10.5667,12.4) [220,360] " , " (1.66667,1) [1,2] " , " (2242.08,2232.33) [2000,2350] " , " (24.92,27.135) [15,30] " , " (2.66667,3.66667) [2,4] " , " (3,3) [2,3] " , " (225.835,173.085) [50,455] " , " (3176.2,3580.72) [1000,4000] " , " (1.93333,2.36667) [1,3] " , " (5.7,3.4) [0,7] " , " (1.5,1.5) [1,2] " , " (1.76667,1.76667) [1,2] " , " (8.9,8.9) [8,9] " , " (3.46667,3.13333) [3,4] " , " (1.5,1.5) [1,2] " , " (1.5,1.5) [1,2] "
17 , 20 , 113 , 124 , 130 , 163 , 152 , 206 , 260 , " (182.764,131.428) [3000,16000] " , " (935.577,882.743) [15000,26000] " , " (0,0) [0,1] " , " (1,1.07143) [1,2] " , " (3.41667,3.91667) [3,4] " , " (0,0) [0,1] " , " (1.75,1.75) [1,2] " , " (13.3527,12.386) [220,360] " , " (1,1) [1,2] " , " (2203.89,2165.59) [2000,2350] " , " (28.3742,24.4817) [15,30] " , " (3.29167,3) [2,4] " , " (3,3) [2,3] " , " (183.385,184.252) [50,455] " , " (2309.31,2376.17) [1000,4000] " , " (2.96667,1.53333) [1,3] " , " (4.6,4.88571) [0,7] " , " (2,2) [1,2] " , " (1.76667,1.76667) [1,2] " , " (8.69,8.19) [8,9] " , " (3.16667,3.16667) [3,4] " , " (1.5,1.5) [1,2] " , " (1.33333,1.33333) [1,2] "
18 , 20 , 84 , 132 , 125 , 160 , 180 , 227 , 246 , " (88.0467,38.1717) [3000,16000] " , " (1015.23,1143.48) [15000,26000] " , " (0,1) [0,1] " , " (1,1) [1,2] " , " (3.66667,3.66667) [3,4] " , " (0,0) [0,1] " , " (1.85,1.85) [1,2] " , " (10.05,9.775) [220,360] " , " (1,1) [1,2] " , " (2272.95,2239.1) [2000,2350] " , " (29.4379,23.19) [15,30] " , " (2.91667,2.66667) [2,4] " , " (3,3) [2,3] " , " (186.285,203.535) [50,455] " , " (3181.24,3013.43) [1000,4000] " , " (2.91667,1.08333) [1,3] " , " (3.4,5.7) [0,7] " , " (1.5,1.75) [1,2] " , " (1.76667,1.76667) [1,2] " , " (8.9,8.9) [8,9] " , " (3.46667,3.46667) [3,4] " , " (1.78571,1.5) [1,2] " , " (2,1.5) [1,2] "
19 , 57 , 99 , 117 , 133 , 149 , 156 , 192 , 260 , " (231.507,329.765) [3000,16000] " , " (755.943,891.8) [15000,26000] " , " (0,0) [0,1] " , " (1.33333,1.33333) [1,2] " , " (3.3,3.5) [3,4] " , " (0,0) [0,1] " , " (1.4,1.4) [1,2] " , " (12.0619,11.5833) [220,360] " , " (1.6,1.6) [1,2] " , " (2123.92,2173.83) [2000,2350] " , " (24.2615,27.1157) [15,30] " , " (3.11905,3.61905) [2,4] " , " (2.66667,2.66667) [2,3] " , " (318.243,282.3) [50,455] " , " (2065.25,2028.42) [1000,4000] " , " (2.30833,2.66667) [1,3] " , " (2.84,2.8) [0,7] " , " (1.5,1) [1,2] " , " (1,1) [1,2] " , " (8.5,8.5) [8,9] " , " (3,3.66667) [3,4] " , " (1,1) [1,2] " , " (1.71429,2) [1,2] "
20 , 11 , 107 , 118 , 121 , 151 , 185 , 235 , 284 , " (143.843,155.653) [3000,16000] " , " (924.55,912.45) [15000,26000] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (4,3.2) [3,4] " , " (0,0) [0,1] " , " (1.3,1.3) [1,2] " , " (12.1267,10.2267) [220,360] " , " (1,1) [1,2] " , " (2162.94,2060.21) [2000,2350] " , " (29.6283,26.9426) [15,30] " , " (3.5,3.6) [2,4] " , " (2.33333,2.33333) [2,3] " , " (428.05,450.85) [50,455] " , " (2337.25,2581.75) [1000,4000] " , " (1.55333,1.91667) [1,3] " , " (2.1,1.84) [0,7] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] " , " (9,8.5) [8,9] " , " (3.66667,3.66667) [3,4] " , " (1.75,1.32143) [1,2] " , " (2,2) [1,2] "
