DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
1 , 57 , 99 , 118 , 117 , 156 , 149 , 192 , 260 , " (0,0) [0,1] " , " (3.66667,3) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.5,3.3) [3,4] " , " (890.9,755.943) [15000,26000] " , " (2.56667,2.30833) [1,3] " , " (282.3,318.243) [50,455] " , " (2,1.71429) [1,2] " , " (2029.22,2065.25) [1000,4000] " , " (2.8,2.84) [0,7] " , " (2175.03,2123.92) [2000,2350] " , " (1.6,1.6) [1,2] " , " (27.5657,24.2615) [15,30] " , " (11.9833,12.0619) [220,360] " , " (3.61905,3.11905) [2,4] " , " (1,1) [1,2] " , " (8.5,8.5) [8,9] " , " (1.4,1.4) [1,2] " , " (2.66667,2.66667) [2,3] " , " (0,0) [0,1] " , " (335.025,231.507) [3000,16000] " , " (1,1.5) [1,2] " , " (1,1) [1,2] "
2 , 20 , 113 , 130 , 120 , 152 , 163 , 206 , 260 , " (0,0) [0,1] " , " (3.16667,3.16667) [3,4] " , " (1.07143,1) [1,2] " , " (3.91667,3.41667) [3,4] " , " (882.743,938.19) [15000,26000] " , " (1.53333,2.42667) [1,3] " , " (184.252,194.985) [50,455] " , " (1.33333,2) [1,2] " , " (2376.17,2305.35) [1000,4000] " , " (4.88571,4.6) [0,7] " , " (2165.59,2224.95) [2000,2350] " , " (1,1) [1,2] " , " (24.4817,27.1355) [15,30] " , " (12.386,13.5393) [220,360] " , " (3,3.29167) [2,4] " , " (1.5,1.5) [1,2] " , " (8.19,8.82333) [8,9] " , " (1.75,1.75) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (131.428,158.406) [3000,16000] " , " (2,2) [1,2] " , " (1.76667,1.76667) [1,2] "
3 , 57 , 92 , 131 , 126 , 137 , 151 , 192 , 260 , " (0,0) [0,1] " , " (3,3.66667) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.85,3.26667) [3,4] " , " (944.41,928.81) [15000,26000] " , " (1.44333,1.73667) [1,3] " , " (391.42,416.787) [50,455] " , " (2,2) [1,2] " , " (2293.19,1942.65) [1000,4000] " , " (2.98,6.98) [0,7] " , " (2180.31,2115.07) [2000,2350] " , " (1,1) [1,2] " , " (28.0294,25.6007) [15,30] " , " (11.7433,12.8833) [220,360] " , " (3.63866,3.78571) [2,4] " , " (1.5,1) [1,2] " , " (8.75,8.45) [8,9] " , " (1.4,1.4) [1,2] " , " (2.66667,2.66667) [2,3] " , " (0,0) [0,1] " , " (186.516,279.508) [3000,16000] " , " (2,2) [1,2] " , " (1.2,1.2) [1,2] "
4 , 20 , 84 , 124 , 134 , 175 , 181 , 227 , 246 , " (0,0) [0,1] " , " (3.13333,3.46667) [3,4] " , " (1,1) [1,2] " , " (3.66667,3.66667) [3,4] " , " (1040.18,1168.58) [15000,26000] " , " (1.86667,1.93333) [1,3] " , " (173.085,225.835) [50,455] " , " (1.5,1.5) [1,2] " , " (3561.64,3176.2) [1000,4000] " , " (3.4,5.7) [0,7] " , " (2215.93,2242.08) [2000,2350] " , " (1,1.66667) [1,2] " , " (26.385,24.92) [15,30] " , " (12.4,10.5667) [220,360] " , " (3.66667,2.66667) [2,4] " , " (1.5,1.5) [1,2] " , " (8.9,8.9) [8,9] " , " (1.85,1.85) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (105.382,104.702) [3000,16000] " , " (1.5,1.5) [1,2] " , " (1.76667,1.76667) [1,2] "
5 , 11 , 112 , 133 , 129 , 143 , 147 , 193 , 260 , " (0,0) [0,1] " , " (3.16667,3.33333) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.16667,3.08333) [3,4] " , " (858.3,910.51) [15000,26000] " , " (2.37667,2.55) [1,3] " , " (418.925,430.117) [50,455] " , " (2,2) [1,2] " , " (3172.13,3831.35) [1000,4000] " , " (4.33333,4.78333) [0,7] " , " (2208.35,2112.23) [2000,2350] " , " (1.6,1.6) [1,2] " , " (29.5483,22.3183) [15,30] " , " (10.26,11.66) [220,360] " , " (2.5,2.28333) [2,4] " , " (1.75,1.25) [1,2] " , " (9,8.5) [8,9] " , " (1.95,2) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (103.32,123.013) [3000,16000] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
6 , 20 , 84 , 125 , 132 , 180 , 160 , 227 , 246 , " (1,0) [0,1] " , " (3.46667,3.46667) [3,4] " , " (1,1) [1,2] " , " (3.66667,3.66667) [3,4] " , " (1143.48,1015.23) [15000,26000] " , " (1.08333,2.91667) [1,3] " , " (203.535,186.285) [50,455] " , " (1.5,2) [1,2] " , " (3013.43,3181.24) [1000,4000] " , " (5.7,3.4) [0,7] " , " (2239.1,2272.95) [2000,2350] " , " (1,1) [1,2] " , " (23.19,29.4379) [15,30] " , " (9.775,10.05) [220,360] " , " (2.66667,2.91667) [2,4] " , " (1.5,1.78571) [1,2] " , " (8.9,8.9) [8,9] " , " (1.85,1.85) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (38.1717,88.0467) [3000,16000] " , " (1.75,1.5) [1,2] " , " (1.76667,1.76667) [1,2] "
7 , 57 , 99 , 118 , 117 , 156 , 149 , 192 , 260 , " (0,0) [0,1] " , " (3.66667,3) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.5,3.3) [3,4] " , " (890.9,755.943) [15000,26000] " , " (2.56667,2.30833) [1,3] " , " (282.3,318.243) [50,455] " , " (2,1.71429) [1,2] " , " (2029.22,2065.25) [1000,4000] " , " (2.8,2.84) [0,7] " , " (2175.03,2123.92) [2000,2350] " , " (1.6,1.6) [1,2] " , " (27.5657,24.2615) [15,30] " , " (11.9833,12.0619) [220,360] " , " (3.61905,3.11905) [2,4] " , " (1,1) [1,2] " , " (8.5,8.5) [8,9] " , " (1.4,1.4) [1,2] " , " (2.66667,2.66667) [2,3] " , " (0,0) [0,1] " , " (335.025,231.507) [3000,16000] " , " (1,1.5) [1,2] " , " (1,1) [1,2] "
8 , 20 , 113 , 128 , 130 , 163 , 152 , 206 , 260 , " (0,0) [0,1] " , " (3.16667,3.16667) [3,4] " , " (1,1.07143) [1,2] " , " (3.41667,3.91667) [3,4] " , " (935.577,882.743) [15000,26000] " , " (2.56667,1.53333) [1,3] " , " (183.385,184.252) [50,455] " , " (1.33333,1.33333) [1,2] " , " (2330.68,2376.17) [1000,4000] " , " (4.6,4.88571) [0,7] " , " (2233.08,2165.59) [2000,2350] " , " (1,1) [1,2] " , " (29.067,24.4817) [15,30] " , " (13.3527,12.386) [220,360] " , " (3.29167,3) [2,4] " , " (1.78571,1.5) [1,2] " , " (8.69,8.19) [8,9] " , " (1.75,1.75) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (161.094,131.428) [3000,16000] " , " (2,2) [1,2] " , " (1.76667,1.76667) [1,2] "
9 , 66 , 92 , 123 , 136 , 151 , 185 , 192 , 248 , " (0,0) [0,1] " , " (3.71667,3.71667) [3,4] " , " (1,1) [1,2] " , " (3.11667,3.06667) [3,4] " , " (961.11,953.21) [15000,26000] " , " (2.17,2.23333) [1,3] " , " (335.962,355.762) [50,455] " , " (2,2) [1,2] " , " (2643.2,2889.5) [1000,4000] " , " (6.8,6.39) [0,7] " , " (2194.03,2192.56) [2000,2350] " , " (2,2) [1,2] " , " (25.8323,20.888) [15,30] " , " (12.91,11.61) [220,360] " , " (2.32667,2.42667) [2,4] " , " (1.66,1.23143) [1,2] " , " (8.15,8.65) [8,9] " , " (1.15,1.15) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (126.985,143.255) [3000,16000] " , " (2,2) [1,2] " , " (1.7,1.7) [1,2] "
10 , 20 , 84 , 127 , 131 , 175 , 181 , 227 , 246 , " (0,0) [0,1] " , " (3.13333,3.46667) [3,4] " , " (1,1) [1,2] " , " (3.66667,3.66667) [3,4] " , " (1040.18,1192.88) [15000,26000] " , " (2.36667,1.46) [1,3] " , " (173.085,225.835) [50,455] " , " (1.5,1.5) [1,2] " , " (3580.72,3408.7) [1000,4000] " , " (3.4,5.7) [0,7] " , " (2232.33,2250.45) [2000,2350] " , " (1,1.66667) [1,2] " , " (27.135,28.0833) [15,30] " , " (12.4,10.7667) [220,360] " , " (3.66667,2.66667) [2,4] " , " (1.5,2) [1,2] " , " (8.9,8.4) [8,9] " , " (1.85,1.85) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (92.4817,84.4333) [3000,16000] " , " (1.5,1.5) [1,2] " , " (1.76667,1.76667) [1,2] "
