DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , ACIDOFOLICOG , CALCIOMG , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , EQUIVALENTELECHECONAZUCAR , EQUIVALENTELECHEENTERA , HIERROMG , EQUIVALENTEAOAALTOENGRASA , KILOCALORIAS , FIBRAG , EQUIVALENTEFRUTAS , EQUIVALENTECEREALESCONGRASA , COLESTEROLMG , SODIOMG , EQUIVALENTEVERDURAS , AGSATURADOSG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA , EQUIVALENTECEREALESSINGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTELEGUMINOSAS , EQUIVALENTEAOAMUYBAJOSENGRASA
11 , 11 , 107 , 130 , 126 , 137 , 151 , 234 , 275 , " (228.422,228.422) [8700,46400] " , " (660.167,660.167) [43500,75400] " , " (0,0) [0,1] " , " (0,0) [1,2] " , " (4.91667,4.91667) [3,4] " , " (0,0) [0,1] " , " (1.05,1.05) [1,2] " , " (10.9733,10.9733) [638,1044] " , " (0.333333,0.333333) [1,2] " , " (2098.38,2098.38) [2000,2350] " , " (37.7904,37.7904) [15,30] " , " (2.85294,2.85294) [2,4] " , " (2.33333,2.33333) [2,3] " , " (452.758,452.758) [50,455] " , " (2663.81,2663.81) [1000,4000] " , " (2.88667,2.88667) [1,3] " , " (6.2,6.2) [0,7] " , " (4,4) [1,2] " , " (1.5,1.5) [1,2] " , " (8.7,8.7) [8,9] " , " (1.66667,1.66667) [3,4] " , " (2.75,2.75) [1,2] " , " (0,0) [1,2] "
12 , 57 , 99 , 118 , 117 , 156 , 149 , 192 , 260 , " (336.937,336.937) [8700,46400] " , " (604.543,604.543) [43500,75400] " , " (0,0) [0,1] " , " (0,0) [1,2] " , " (4.8,4.8) [3,4] " , " (0,0) [0,1] " , " (0,0) [1,2] " , " (14.3119,14.3119) [638,1044] " , " (1.6,1.6) [1,2] " , " (2184.89,2184.89) [2000,2350] " , " (35.9024,35.9024) [15,30] " , " (2.78571,2.78571) [2,4] " , " (2.66667,2.66667) [2,3] " , " (302.343,302.343) [50,455] " , " (2314.18,2314.18) [1000,4000] " , " (4.41667,4.41667) [1,3] " , " (2.24,2.24) [0,7] " , " (2,2) [1,2] " , " (1,1) [1,2] " , " (10,10) [8,9] " , " (1.16667,1.16667) [3,4] " , " (2,2) [1,2] " , " (3.71429,3.71429) [1,2] "
13 , 66 , 113 , 121 , 124 , 185 , 151 , 235 , 285 , " (165.24,165.24) [8700,46400] " , " (705.3,705.3) [43500,75400] " , " (0,0) [0,1] " , " (0.666667,0.666667) [1,2] " , " (3.45,3.45) [3,4] " , " (0,0) [0,1] " , " (0.75,0.75) [1,2] " , " (11.9027,11.9027) [638,1044] " , " (0,0) [1,2] " , " (2184.83,2184.83) [2000,2350] " , " (34.36,34.36) [15,30] " , " (3.09333,3.09333) [2,4] " , " (3,3) [2,3] " , " (273.185,273.185) [50,455] " , " (3198.2,3198.2) [1000,4000] " , " (3.03667,3.03667) [1,3] " , " (2.14,2.14) [0,7] " , " (4,4) [1,2] " , " (1.6,1.6) [1,2] " , " (9.19,9.19) [8,9] " , " (1.33333,1.33333) [3,4] " , " (2.23143,2.23143) [1,2] " , " (1.33333,1.33333) [1,2] "
14 , 20 , 84 , 132 , 127 , 160 , 175 , 227 , 246 , " (152.002,152.002) [8700,46400] " , " (841.427,841.427) [43500,75400] " , " (0,0) [0,1] " , " (1,1) [1,2] " , " (4,4) [3,4] " , " (0,0) [0,1] " , " (0.75,0.75) [1,2] " , " (14.32,14.32) [638,1044] " , " (1,1) [1,2] " , " (2251.05,2251.05) [2000,2350] " , " (29.9962,29.9962) [15,30] " , " (2.25,2.25) [2,4] " , " (3,3) [2,3] " , " (137.458,137.458) [50,455] " , " (3206.33,3206.33) [1000,4000] " , " (4.78333,4.78333) [1,3] " , " (1.6,1.6) [0,7] " , " (1.5,1.5) [1,2] " , " (1.66667,1.66667) [1,2] " , " (10.9,10.9) [8,9] " , " (2,2) [3,4] " , " (1.78571,1.78571) [1,2] " , " (3.5,3.5) [1,2] "
15 , 11 , 107 , 130 , 126 , 137 , 151 , 234 , 275 , " (228.422,228.422) [8700,46400] " , " (660.167,660.167) [43500,75400] " , " (0,0) [0,1] " , " (0,0) [1,2] " , " (4.91667,4.91667) [3,4] " , " (0,0) [0,1] " , " (1.05,1.05) [1,2] " , " (10.9733,10.9733) [638,1044] " , " (0.333333,0.333333) [1,2] " , " (2098.38,2098.38) [2000,2350] " , " (37.7904,37.7904) [15,30] " , " (2.85294,2.85294) [2,4] " , " (2.33333,2.33333) [2,3] " , " (452.758,452.758) [50,455] " , " (2663.81,2663.81) [1000,4000] " , " (2.88667,2.88667) [1,3] " , " (6.2,6.2) [0,7] " , " (4,4) [1,2] " , " (1.5,1.5) [1,2] " , " (8.7,8.7) [8,9] " , " (1.66667,1.66667) [3,4] " , " (2.75,2.75) [1,2] " , " (0,0) [1,2] "
16 , 57 , 99 , 117 , 134 , 149 , 156 , 192 , 260 , " (341.027,341.027) [8700,46400] " , " (605.443,605.443) [43500,75400] " , " (0,0) [0,1] " , " (0,0) [1,2] " , " (4.8,4.8) [3,4] " , " (0,0) [0,1] " , " (0,0) [1,2] " , " (13.9119,13.9119) [638,1044] " , " (1.6,1.6) [1,2] " , " (2186.59,2186.59) [2000,2350] " , " (35.6224,35.6224) [15,30] " , " (2.78571,2.78571) [2,4] " , " (2.66667,2.66667) [2,3] " , " (302.343,302.343) [50,455] " , " (2080.98,2080.98) [1000,4000] " , " (4.61667,4.61667) [1,3] " , " (2.24,2.24) [0,7] " , " (2,2) [1,2] " , " (1,1) [1,2] " , " (10,10) [8,9] " , " (1.16667,1.16667) [3,4] " , " (2,2) [1,2] " , " (3.71429,3.71429) [1,2] "
17 , 66 , 92 , 132 , 136 , 137 , 185 , 235 , 285 , " (159.929,159.929) [8700,46400] " , " (821.61,821.61) [43500,75400] " , " (0,0) [0,1] " , " (0.666667,0.666667) [1,2] " , " (5.21667,5.21667) [3,4] " , " (0,0) [0,1] " , " (0.75,0.75) [1,2] " , " (11.48,11.48) [638,1044] " , " (1,1) [1,2] " , " (2355.67,2355.67) [2000,2350] " , " (32.703,32.703) [15,30] " , " (2.77961,2.77961) [2,4] " , " (2,2) [2,3] " , " (370.362,370.362) [50,455] " , " (3030.65,3030.65) [1000,4000] " , " (2.71667,2.71667) [1,3] " , " (7.02,7.02) [0,7] " , " (4,4) [1,2] " , " (1.7,1.7) [1,2] " , " (9.65,9.65) [8,9] " , " (0.666667,0.666667) [3,4] " , " (2.51714,2.51714) [1,2] " , " (2,2) [1,2] "
18 , 20 , 84 , 131 , 125 , 181 , 180 , 227 , 246 , " (94.0783,94.0783) [8700,46400] " , " (1122.38,1122.38) [43500,75400] " , " (1,1) [0,1] " , " (1,1) [1,2] " , " (4,4) [3,4] " , " (0,0) [0,1] " , " (0.75,0.75) [1,2] " , " (12.4117,12.4117) [638,1044] " , " (1.66667,1.66667) [1,2] " , " (2235.31,2235.31) [2000,2350] " , " (24.6967,24.6967) [15,30] " , " (1,1) [2,4] " , " (3,3) [2,3] " , " (207.458,207.458) [50,455] " , " (2866.51,2866.51) [1000,4000] " , " (2.04333,2.04333) [1,3] " , " (6.2,6.2) [0,7] " , " (1.75,1.75) [1,2] " , " (1.66667,1.66667) [1,2] " , " (10.4,10.4) [8,9] " , " (2.33333,2.33333) [3,4] " , " (2,2) [1,2] " , " (3,3) [1,2] "
19 , 57 , 99 , 118 , 117 , 156 , 149 , 192 , 260 , " (336.937,336.937) [8700,46400] " , " (604.543,604.543) [43500,75400] " , " (0,0) [0,1] " , " (0,0) [1,2] " , " (4.8,4.8) [3,4] " , " (0,0) [0,1] " , " (0,0) [1,2] " , " (14.3119,14.3119) [638,1044] " , " (1.6,1.6) [1,2] " , " (2184.89,2184.89) [2000,2350] " , " (35.9024,35.9024) [15,30] " , " (2.78571,2.78571) [2,4] " , " (2.66667,2.66667) [2,3] " , " (302.343,302.343) [50,455] " , " (2314.18,2314.18) [1000,4000] " , " (4.41667,4.41667) [1,3] " , " (2.24,2.24) [0,7] " , " (2,2) [1,2] " , " (1,1) [1,2] " , " (10,10) [8,9] " , " (1.16667,1.16667) [3,4] " , " (2,2) [1,2] " , " (3.71429,3.71429) [1,2] "
20 , 66 , 113 , 121 , 120 , 185 , 151 , 235 , 285 , " (140.882,140.882) [8700,46400] " , " (707.913,707.913) [43500,75400] " , " (0,0) [0,1] " , " (0.666667,0.666667) [1,2] " , " (3.45,3.45) [3,4] " , " (0,0) [0,1] " , " (0.75,0.75) [1,2] " , " (12.0893,12.0893) [638,1044] " , " (0,0) [1,2] " , " (2205.89,2205.89) [2000,2350] " , " (33.1213,33.1213) [15,30] " , " (3.09333,3.09333) [2,4] " , " (3,3) [2,3] " , " (284.785,284.785) [50,455] " , " (3194.24,3194.24) [1000,4000] " , " (2.49667,2.49667) [1,3] " , " (2.14,2.14) [0,7] " , " (4,4) [1,2] " , " (1.6,1.6) [1,2] " , " (9.32333,9.32333) [8,9] " , " (1.33333,1.33333) [3,4] " , " (2.23143,2.23143) [1,2] " , " (2,2) [1,2] "
