DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
11 , 57 , 99 , 117 , 125 , 149 , 156 , 192 , 260 , " (0,0) [0,1] " , " (1.16667,1.16667) [3,4] " , " (0,0) [1,2] " , " (4.8,4.8) [3,4] " , " (605.443,605.443) [45000,78000] " , " (4.51667,4.51667) [1,3] " , " (302.343,302.343) [50,455] " , " (3.71429,3.71429) [1,2] " , " (2081.11,2081.11) [1000,4000] " , " (2.24,2.24) [0,7] " , " (2184.79,2184.79) [2000,2350] " , " (1.6,1.6) [1,2] " , " (35.4824,35.4824) [15,30] " , " (13.9119,13.9119) [660,1080] " , " (2.78571,2.78571) [2,4] " , " (2,2) [1,2] " , " (10,10) [8,9] " , " (0,0) [1,2] " , " (2.66667,2.66667) [2,3] " , " (0,0) [0,1] " , " (338.657,338.657) [9000,48000] " , " (2,2) [1,2] " , " (1,1) [1,2] "
12 , 20 , 84 , 133 , 134 , 181 , 180 , 227 , 246 , " (1,1) [0,1] " , " (2.33333,2.33333) [3,4] " , " (1,1) [1,2] " , " (4,4) [3,4] " , " (1098.08,1098.08) [45000,78000] " , " (2.51667,2.51667) [1,3] " , " (207.458,207.458) [50,455] " , " (3,3) [1,2] " , " (2866.27,2866.27) [1000,4000] " , " (6.2,6.2) [0,7] " , " (2225.85,2225.85) [2000,2350] " , " (1.66667,1.66667) [1,2] " , " (21.5033,21.5033) [15,30] " , " (12.2117,12.2117) [660,1080] " , " (1,1) [2,4] " , " (1.5,1.5) [1,2] " , " (10.9,10.9) [8,9] " , " (0.75,0.75) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (107.367,107.367) [9000,48000] " , " (1.75,1.75) [1,2] " , " (1.66667,1.66667) [1,2] "
13 , 11 , 112 , 129 , 118 , 147 , 143 , 193 , 260 , " (0,0) [0,1] " , " (3,3) [3,4] " , " (0,0) [1,2] " , " (4.58333,4.58333) [3,4] " , " (669.31,669.31) [45000,78000] " , " (4.42667,4.42667) [1,3] " , " (425.817,425.817) [50,455] " , " (4,4) [1,2] " , " (4222.35,4222.35) [1000,4000] " , " (4.38333,4.38333) [0,7] " , " (2215.26,2215.26) [2000,2350] " , " (1.6,1.6) [1,2] " , " (34.885,34.885) [15,30] " , " (12.9,12.9) [660,1080] " , " (2.11667,2.11667) [2,4] " , " (2.25,2.25) [1,2] " , " (9.3,9.3) [8,9] " , " (1,1) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (118.787,118.787) [9000,48000] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
14 , 66 , 96 , 131 , 122 , 185 , 137 , 192 , 272 , " (0,0) [0,1] " , " (0.666667,0.666667) [3,4] " , " (0.666667,0.666667) [1,2] " , " (2.95,2.95) [3,4] " , " (681.7,681.7) [45000,78000] " , " (2.99333,2.99333) [1,3] " , " (270.475,270.475) [50,455] " , " (1.66667,1.66667) [1,2] " , " (3254.09,3254.09) [1000,4000] " , " (1.64,1.64) [0,7] " , " (2192.31,2192.31) [2000,2350] " , " (0,0) [1,2] " , " (32.6527,32.6527) [15,30] " , " (11.1033,11.1033) [660,1080] " , " (2.61294,2.61294) [2,4] " , " (2.16,2.16) [1,2] " , " (10.4,10.4) [8,9] " , " (0.75,0.75) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (230.762,230.762) [9000,48000] " , " (4,4) [1,2] " , " (1.5,1.5) [1,2] "
15 , 20 , 113 , 120 , 130 , 163 , 152 , 206 , 260 , " (0,0) [0,1] " , " (2.33333,2.33333) [3,4] " , " (0.0714286,0.0714286) [1,2] " , " (4.58333,4.58333) [3,4] " , " (728.057,728.057) [45000,78000] " , " (3.46,3.46) [1,3] " , " (237.618,237.618) [50,455] " , " (2,2) [1,2] " , " (2562.9,2562.9) [1000,4000] " , " (6.08571,6.08571) [0,7] " , " (2144.63,2144.63) [2000,2350] " , " (2,2) [1,2] " , " (25.6788,25.6788) [15,30] " , " (16.1727,16.1727) [660,1080] " , " (3.29167,3.29167) [2,4] " , " (1.5,1.5) [1,2] " , " (6.82333,6.82333) [8,9] " , " (0.75,0.75) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (177.433,177.433) [9000,48000] " , " (4,4) [1,2] " , " (1.76667,1.76667) [1,2] "
16 , 20 , 84 , 132 , 127 , 160 , 175 , 227 , 246 , " (0,0) [0,1] " , " (2,2) [3,4] " , " (1,1) [1,2] " , " (4,4) [3,4] " , " (841.427,841.427) [45000,78000] " , " (4.78333,4.78333) [1,3] " , " (137.458,137.458) [50,455] " , " (3.5,3.5) [1,2] " , " (3206.33,3206.33) [1000,4000] " , " (1.6,1.6) [0,7] " , " (2251.05,2251.05) [2000,2350] " , " (1,1) [1,2] " , " (29.9962,29.9962) [15,30] " , " (14.32,14.32) [660,1080] " , " (2.25,2.25) [2,4] " , " (1.78571,1.78571) [1,2] " , " (10.9,10.9) [8,9] " , " (0.75,0.75) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (152.002,152.002) [9000,48000] " , " (1.5,1.5) [1,2] " , " (1.66667,1.66667) [1,2] "
17 , 57 , 99 , 125 , 117 , 156 , 149 , 192 , 260 , " (0,0) [0,1] " , " (1.16667,1.16667) [3,4] " , " (0,0) [1,2] " , " (4.8,4.8) [3,4] " , " (605.443,605.443) [45000,78000] " , " (4.51667,4.51667) [1,3] " , " (302.343,302.343) [50,455] " , " (3.71429,3.71429) [1,2] " , " (2081.11,2081.11) [1000,4000] " , " (2.24,2.24) [0,7] " , " (2184.79,2184.79) [2000,2350] " , " (1.6,1.6) [1,2] " , " (35.4824,35.4824) [15,30] " , " (13.9119,13.9119) [660,1080] " , " (2.78571,2.78571) [2,4] " , " (2,2) [1,2] " , " (10,10) [8,9] " , " (0,0) [1,2] " , " (2.66667,2.66667) [2,3] " , " (0,0) [0,1] " , " (338.657,338.657) [9000,48000] " , " (2,2) [1,2] " , " (1,1) [1,2] "
18 , 20 , 84 , 134 , 118 , 180 , 181 , 227 , 246 , " (1,1) [0,1] " , " (2.33333,2.33333) [3,4] " , " (1,1) [1,2] " , " (4,4) [3,4] " , " (1097.18,1097.18) [45000,78000] " , " (2.41667,2.41667) [1,3] " , " (207.458,207.458) [50,455] " , " (3,3) [1,2] " , " (2867.07,2867.07) [1000,4000] " , " (6.2,6.2) [0,7] " , " (2227.05,2227.05) [2000,2350] " , " (1.66667,1.66667) [1,2] " , " (21.9533,21.9533) [15,30] " , " (12.6117,12.6117) [660,1080] " , " (1,1) [2,4] " , " (1.5,1.5) [1,2] " , " (10.9,10.9) [8,9] " , " (0.75,0.75) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (112.627,112.627) [9000,48000] " , " (1.75,1.75) [1,2] " , " (1.66667,1.66667) [1,2] "
19 , 11 , 112 , 133 , 129 , 143 , 147 , 193 , 260 , " (0,0) [0,1] " , " (3,3) [3,4] " , " (0,0) [1,2] " , " (4.58333,4.58333) [3,4] " , " (670.21,670.21) [45000,78000] " , " (4.52667,4.52667) [1,3] " , " (425.817,425.817) [50,455] " , " (4,4) [1,2] " , " (4221.55,4221.55) [1000,4000] " , " (4.38333,4.38333) [0,7] " , " (2214.06,2214.06) [2000,2350] " , " (1.6,1.6) [1,2] " , " (34.435,34.435) [15,30] " , " (12.5,12.5) [660,1080] " , " (2.11667,2.11667) [2,4] " , " (2.25,2.25) [1,2] " , " (9.3,9.3) [8,9] " , " (1,1) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (113.527,113.527) [9000,48000] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
20 , 66 , 96 , 131 , 122 , 185 , 137 , 192 , 272 , " (0,0) [0,1] " , " (0.666667,0.666667) [3,4] " , " (0.666667,0.666667) [1,2] " , " (2.95,2.95) [3,4] " , " (681.7,681.7) [45000,78000] " , " (2.99333,2.99333) [1,3] " , " (270.475,270.475) [50,455] " , " (1.66667,1.66667) [1,2] " , " (3254.09,3254.09) [1000,4000] " , " (1.64,1.64) [0,7] " , " (2192.31,2192.31) [2000,2350] " , " (0,0) [1,2] " , " (32.6527,32.6527) [15,30] " , " (11.1033,11.1033) [660,1080] " , " (2.61294,2.61294) [2,4] " , " (2.16,2.16) [1,2] " , " (10.4,10.4) [8,9] " , " (0.75,0.75) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (230.762,230.762) [9000,48000] " , " (4,4) [1,2] " , " (1.5,1.5) [1,2] "
